service_type,service_sub_type,bank_scope,detail_category,answer_type,sequence,question_text
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,87,Underground sewerage system
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,88,Is power supply available at the site ?
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,89,Advantage of the site .
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,90,Special remark if any
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,91,Size of plot
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,92,North & South
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,93,East & West
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,94,Total extent of the plot
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,95,Prevailing market rate
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,96,Guideline rate
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,97,Assessed / adopted rate of land
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,98,Assessed / Estimated Value of Land
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,99,Technical details of the building
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,100,Type of Building
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,101,Type of construction
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,102,Year of construction
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,103,Number of floors & height of each floor
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,104,Plinth area floor - wise
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,105,Condition of the building
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,106,Condition of the building Exterior
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,107,Condition of the building Interior
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,108,Date of issue and validity of layout of approved map / plan
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,109,Approved map / plan issuing authority
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,110,Whether genuineness or authenticity of approved map / plan is verified
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,111,Any other comments by our empanelled valuers on authentic of approved plan
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,112,Specifications of construction (floor - wise) in respect of
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,113,Description
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,114,Foundation
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,115,Basement
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,116,Superstructure
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,117,RCC works
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,118,Plastering
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,119,"Flooring, Skirting, dadoing"
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,120,Special finish
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,121,Joinery / Doors & Windows
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,122,Roofing including weather proof course
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,123,Drainage
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,124,Description
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,125,Compound wall
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,126,Height of compound wall
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,127,Length of compound wall
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,128,Type of construction of compound wall
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,129,Electrical installation
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,130,Type of wiring
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,131,Class of fittings
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,132,Number of light points
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,133,Fan points
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,134,Spare plug points
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,135,Any other item (Electrical)
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,136,Plumbing installation
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,137,No. of water closets and their type
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,138,No. of wash basins
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,139,No. urinals
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,140,No. of bath tubs
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,141,"Water meter, taps, etc."
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,142,Any other fixtures (Plumbing)
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Tabular,143,Details of valuation
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Sum of Attribute,144,Part C- (Extra Items)
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Sum of Attribute,145,Part D (Amenities)
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Sum of Attribute,146,Part e - (Miscellaneous)
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Sum of Attribute,147,Part F - (Services)
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Sum of Attribute,148,Total abstract of the entire property
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Sum of Attribute,149,Guide Line Value
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Tabular,150,Valuer comment if any
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Tabular,151,Was property valued earlier
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Tabular,152,Other Market values
Valuation of asset,L & B,Canara Bank,Canara Bank,Checkbox,1,Purpose of valuation
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,2,a. Date of Inspection
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,3,Date on which the valuation is made
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,4,Name of the reported owner with present address and phone number
Valuation of asset,L & B,Canara Bank,Canara Bank,Checkbox,5,Documents produced for perusal
Valuation of asset,L & B,Canara Bank,Canara Bank,Checkbox,6,Brief description of the property taken for valuation
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,7,Scope of Valuation
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,8,"In case it is an agricultural land, any conversion contemplated"
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,9,Postal address of the property with Pin code
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,10,City / Town
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,11,Residential Area
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,12,Commercial Area
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,13,Industrial Area
Valuation of asset,L & B,Canara Bank,Canara Bank,Checkbox,14,Classification of area
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,15,Coming under corporation limit / Village Panchayat
Valuation of asset,L & B,Canara Bank,Canara Bank,Checkbox,16,Whether Covered under Govt. enactments
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,17,"In case it is an agricultural land, any conversion contemplated"
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,18,Location of the property (Documentary)
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,19,A Boundaries of the property as per deed
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,20,North
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,21,South
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,22,East
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,23,West
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,24,B Boundaries of the property as per visit / Actuals
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,25,North
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,26,South
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,27,East
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,28,West
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,29,"Latitude, Longitude and coordinates"
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,30,Property tax receipt referred
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,31,Assessment number
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,32,Tax amount
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,33,Receipt in the name of
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,34,Electricity service connection consumer number
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,35,In the name of
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,36,"Other details, if any"
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,37,Property is presently occupied by
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,38,If tenanted fully
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,39,What is the gross monthly rent?
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,40,If occupied by both
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,41,By assuming the entire building is let out
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,42,(i) What is the probable monthly rent?
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,43,(ii) What is the advance amount?
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,44,Valuation Details
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,45,F.S.I
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,46,Plot Coverage
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,47,A Dimension of the site As per title deed
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,48,North
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,49,South
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,50,East
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,51,West
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,52,Extent
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,53,B Dimension of the site (Actuals)
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,54,North
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,55,South
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,56,East
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,57,West
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,58,Extent
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,59,Extent of site (least of 1a & 1b) (Plot Area)
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,60,Size of the Plot
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,61,North & South
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,62,East & West
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,63,Total area considered extent of the plot
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,64,Characteristics of the site
Valuation of asset,L & B,Canara Bank,Canara Bank,Checkbox,65,What is the character of the locality?
Valuation of asset,L & B,Canara Bank,Canara Bank,Checkbox,66,What is the classification of the locality?
Valuation of asset,L & B,Canara Bank,Canara Bank,Checkbox,67,Development of surrounding areas
Valuation of asset,L & B,Canara Bank,Canara Bank,Checkbox,68,Possibility of frequent flooding / sub merging
Valuation of asset,L & B,Canara Bank,Canara Bank,Checkbox,69,Feasibility / Nearness to civic amenities
Valuation of asset,L & B,Canara Bank,Canara Bank,Checkbox,70,Level of land with topographical conditions
Valuation of asset,L & B,Canara Bank,Canara Bank,Checkbox,71,Shape of land
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,72,Type of use to which it can be put
Valuation of asset,L & B,Canara Bank,Canara Bank,Checkbox,73,Any usage restriction
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,74,Is plot in town planning approved layout?
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,75,Corner plot or intermittent plot?
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,76,Type of road available at present
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,77,Road facilities are available?
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,78,Is it a land locked land
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,79,Water Potentiality
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,80,Width of the road
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,81,Underground sewerage system
Valuation of asset,L & B,Canara Bank,Canara Bank,Checkbox,82,Is power supply available at the site ?
Valuation of asset,L & B,Canara Bank,Canara Bank,Checkbox,83,Advantage of the site
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,84,Special remark if any like threat of acquisition
Valuation of asset,L & B,Canara Bank,Canara Bank,Checkbox,85,Any factors which affect the marketability of the land
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,86,Type of Land
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,87,Accessibility
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,88,Value on adopting GLR (Guideline Rate)
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,89,i) Guideline rate as obtained from the Registrar's Office
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,90,ii) Value of land by adopting GLR
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,91,Value by adopting PMR (Prevailing Market Rate)
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,92,Prevailing market rate (Along with details)
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,93,Unit rate adopted in this valuation
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,94,Type of Building
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,95,type of construction
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,96,Quality of construction
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,97,Appearance of Building
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,98,Maintenance / Condition of the building
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,99,Maintenance / Condition of the building
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,100,Plinth Area
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,101,Number of floors and height of each floor
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,102,Floor Wise Details
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,103,a. Date of issue and validity of layout
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,104,b. Approved map / plan issuing authority
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,105,c. Whether genuineness or authentic of approved map
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,106,d. Any other comments by our empanelled valuers
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,107,"e. Discuss on the building approval, reference"
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,108,Value of building is estimated
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,109,Description (please do not fill the answer)
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,110,Specification
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,111,Floor finish (floor wise)
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,112,Superstructure (floor wise)
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,113,Roof (floor wise)
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,114,Doors (floor wise)
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,115,Windows (floor wise)
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,116,Weathering course (floor wise)
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,117,Plinth Area (floor wise)
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,118,Years of construction (floor wise)
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,119,Age of building (floor wise)
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,120,"If the age is not exactly known, further life expected"
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,121,Total remaining life of building estimated
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,122,Depreciation percentage
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,123,Replacement rate of construction
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,124,Replacement Value
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,125,Depreciation Value at the rate of 1.33 %
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,126,Present value of the building
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,127,Total value of the building (GF + FF + other floors)
Valuation of asset,L & B,Canara Bank,Canara Bank,Formula Based Calculation,128,Details of Valuation (Independent Building)
Valuation of asset,L & B,Canara Bank,Canara Bank,Sum of Attribute,129,AMENITIES & EXTRA ITEMS (Value after Depreciation)
Valuation of asset,L & B,Canara Bank,Canara Bank,Sum of Attribute,130,PART E - SERVICES (Value after Depreciation)
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,131,ABSTRACT VALUE
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,131,Please Enter the Land value
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,133,Please Enter the Building value
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,134,Please Enter the Amenities value
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,134,Please Enter the Services value
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,136,Total Say
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,137,Factors favouring for an additional value
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,138,Factors favouring for an less value
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,139,Present Market Value
Valuation of asset,L & B,Canara Bank,Canara Bank,Radio,140,Drawing approval
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,141,Estimated Realizable Value
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,142,Forced /Distress Sales Value
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,143,Was property valued earlier
Valuation of asset,L & B,Canara Bank,Canara Bank,Tabular,144,Valuer Comment's
Valuation of asset,L & B,,PART D - POST SITE,Checkbox,22,Upload The Annexures
Valuation of asset,L & B,,PART A - BANK/PARTY,Radio,,Purpose of valuation
Valuation of asset,L & B,,PART C - ONSITE,Tabular,,Date of inspection
Valuation of asset,L & B,,PART D - POST SITE,Text,,Date on which valuation is made
Valuation of asset,L & B,,PART A - BANK/PARTY,Tabular,,Name of the reported owner
Valuation of asset,L & B,,PART A - BANK/PARTY,Radio,,Documents produced for perusal
Valuation of asset,L & B,,PART C - ONSITE,Text,,Postal address of the property
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Radio,,Location of property
Valuation of asset,L & B,,PART C - ONSITE,Tabular,,Boundaries of the property (North)
Valuation of asset,L & B,,PART C - ONSITE,Tabular,,Dimensions of the property (North)
Valuation of asset,L & B,,PART D - POST SITE,Radio,,Value on adopting GLR
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,,Type of Building
Valuation of asset,L & B,,PART C - ONSITE,Tabular,,Floor Wise Details
Valuation of asset,L & B,,PART D - POST SITE,Radio,,Value of building by unit plinth area rate
Valuation of asset,L & B,,PART C - ONSITE,Text,,Plinth area
Valuation of asset,L & B,,PART D - POST SITE,Text,,Replacement Value
Valuation of asset,L & B,,PART D - POST SITE,Text,,Present value of the building
Valuation of asset,L & B,,PART D - POST SITE,Radio,,Amenities and Extra Items
Valuation of asset,L & B,,PART D - POST SITE,Text,,Present Market Value
Valuation of asset,L & B,,PART D - POST SITE,Text,,Upload Work Order or Pay-in Receipt
Valuation of asset,L & B,,PART D - POST SITE,Text,,Value of land by adopting GLR
Valuation of asset,L & B,,PART D - POST SITE,Text,,Plinth Area (floor wise)
Valuation of asset,L & B,,PART A - BANK/PARTY,Checkbox,,Purpose for which the valuation is made
Valuation of asset,L & B,,PART D - POST SITE,Text,,Date on which the valuation is made
Valuation of asset,L & B,,PART A - BANK/PARTY,Checkbox,,Brief description of the property
Valuation of asset,L & B,,PART C - ONSITE,Text,,Prevailing market rate (deal references)
Valuation of asset,L & B,,PART C - ONSITE,Tabular,,Prevailing market land rate references
Valuation of asset,L & B,,PART D - POST SITE,Text,,Date of issue/validity of layout approved map
Valuation of asset,L & B,,PART D - POST SITE,Radio,,No. of water closets and their type
Valuation of asset,L & B,,PART D - POST SITE,Radio,,Details of valuation
Valuation of asset,L & B,,PART D - POST SITE,Text,,Total abstract of the entire property
Valuation of asset,L & B,,PART D - POST SITE,Radio,,Guide Line Value
Valuation of asset,L & B,,PART D - POST SITE,Text,,Valuer comment if any
Valuation of asset,L & B,,PART D - POST SITE,Radio,,Was property valued earlier
Valuation of asset,L & B,,PART D - POST SITE,Text,,Other Market Value
Valuation of asset,L & B,,PART D - POST SITE,Radio,,Prevailing market Rate
Valuation of asset,L & B,,PART D - POST SITE,Text,,Justification of 20%
Valuation of asset,L & B,,PART A - BANK/PARTY,Checkbox,,Purpose of valuation
Valuation of asset,L & B,,PART A - BANK/PARTY,Text,,Name of the reported owner
Valuation of asset,L & B,,PART C - ONSITE,Text,,Date on which the valuation is made
Valuation of asset,L & B,,PART C - ONSITE,Radio,,Special remark (acquisition/CRZ/road widening)
Valuation of asset,L & B,,PART C - ONSITE,Text,,Prevailing market rate references
Valuation of asset,L & B,,PART D - POST SITE,Radio,,Building Value Calculation
Valuation of asset,L & B,,PART C - ONSITE,Radio,,Road facilities
Valuation of asset,L & B,,PART D - POST SITE,Text,,Size of plot (North & South East & West)
Valuation of asset,L & B,,PART C - ONSITE,Radio,,Type of Building
Valuation of asset,L & B,,PART C - ONSITE,Text,,Plinth constructed area floor wise
Valuation of asset,L & B,,PART C - ONSITE,Text,,"Latitude, Longitude and coordinates of the site"
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Text,,Date of Inspection
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Text,,Date of Valuation
Valuation of asset,L & B,,PART C - ONSITE,Text,,Extent of the site
Valuation of asset,L & B,,PART C - ONSITE,Radio,,Character of locality
Valuation of asset,L & B,,PART C - ONSITE,Radio,,Plot is town planning approved layout
Valuation of asset,L & B,,PART C - ONSITE,Radio,,Is it a land-locked land?
Valuation of asset,L & B,,PART D - POST SITE,Text,,Guideline rate from Registrar's office
Valuation of asset,L & B,,PART D - POST SITE,Text,,Value of land by adopting PMR
Valuation of asset,L & B,,PART D - POST SITE,Text,,Prevailing market rate
Valuation of asset,L & B,,PART D - POST SITE,Text,,Abstract Valuation
Valuation of asset,L & B,,PART D - POST SITE,Text,,Was property valued earlier
Valuation of asset,L & B,,PART C - ONSITE,Text,,"Latitude, Longitude and coordinates"
Valuation of asset,L & B,,PART A - BANK/PARTY,Text,,Name of Borrower
Valuation of asset,L & B,,PART A - BANK/PARTY,Radio,,"Upload Work Order or Pay-in Receipt, only if fully paid"
Valuation of asset,L & B,,PART A - GENERAL,Text,,Landmark of the property with Location map
Valuation of asset,L & B,,PART A - GENERAL,Checkbox,,Land use of property - as per ownership document
Valuation of asset,L & B,,PART A - GENERAL,Tabular,,Boundaries of the property offered - as per document
Valuation of asset,L & B,,PART A - GENERAL,Text,,Prevailing market rate
Valuation of asset,L & B,,PART A - GENERAL,Text,,Collector Guide Line Value
Valuation of asset,L & B,,PART A - GENERAL,Checkbox,,Purpose of this report to bank
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Text,,Date of inspection
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,,Possibility of flooding/earthquake/fire/natural calamities
Valuation of asset,L & B,,PART C - ONSITE,Text,,Prevailing market rate (sq.mt/hectare)
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,,Area of the plot/land (supported by plan)
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,,Master plan provisions (land use)
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Tabular,,Ownership documents
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,,Details of ground rent payable
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,,Description of aqua infrastructure (water supply)
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,,"Here, the procedure adopted for arriving at the valuation"
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,,Total area of plot/land
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,,Assessed/adopted rate
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,,Name of the reported owner (CNRB format)
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,,List of documents produced for perusal
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,,Value on adopting GLR (Canara Bank)
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,,Abstract Valuation
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,,Factors favouring additional value
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,,Present Market Value
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,,Present Distress Value
Valuation of asset,L & B,Canara Bank,Canara Bank,Text,,Valuer Comments
Valuation of asset,L & B,Canara Bank,Canara Bank,Checkbox,,Upload The Annexures
